index,centLat,centLon,numStruct,dist,wireCost,production,consumption,netEffect
7581,-0.60929529,34.10278927,4,0.088268516,882.6851637,6512.71,4933.89,1578.81
7582,-0.620784044,34.23912209,3,0.057753342,577.5334199,4424.88,3506.027,918.849
7583,-0.609128925,34.23373152,2,0.037785982,377.8598247,3177.21,2364.68,812.534
7584,-0.621791745,34.24332426,1,0,0,1852.26,1312.1,540.153
7585,-0.583437189,34.17035673,2,0.014727769,147.2776865,2876.99,2188.181,688.811
7586,-0.601167113,34.11404576,5,0.112448094,1124.480938,7879.5,5424.972,2454.532
7587,-0.593723405,34.13076887,2,0.033387438,333.874383,3071.93,2337.52,734.409
7588,-0.582543561,34.12353391,2,0.031438596,314.3859592,3296.27,2581.91,714.354
7589,-0.595396576,34.16360664,2,0.03289829,328.9829024,2984.52,2266.03,718.488
7590,-0.604679818,34.24909511,3,0.054850669,548.50669,4162.75,3104.993,1057.75
7591,-0.595748323,34.11415034,1,0,0,1604.36,1148.26,456.103
7592,-0.616639159,34.244969,1,0,0,1231.69,953.673,278.019
7593,-0.578674342,34.17354163,1,0,0,1329.81,976.817,352.991
7594,-0.583451449,34.20791005,1,0,0,1251.9,936.871,315.032
7595,-0.584901217,34.12515964,1,0,0,1329.81,976.817,352.991
7596,-0.586783538,34.14225353,3,0.065678837,656.7883659,4810.71,3469.89,1340.829
7597,-0.594750123,34.18467453,3,0.04549082,454.9081999,4441.46,3664.31,777.149
7598,-0.593276591,34.12167051,4,0.065170852,651.7085227,6451.47,4957.99,1493.479
7599,-0.609799142,34.19388697,1,0,0,1503.68,1174.59,329.088
7600,-0.593034171,34.23836152,2,0.031242266,312.4226582,3507.1,2549.25,957.852
7601,-0.600492142,34.17180182,2,0.030682591,306.8259108,2863.12,2110.796,752.323
7602,-0.621254621,34.10484757,1,0,0,1536.26,1200.69,335.57
7603,-0.596651455,34.09820681,6,0.180622524,1806.225238,9577.2,7268.91,2308.287
7604,-0.626530787,34.09336291,5,0.100353493,1003.534932,7784.24,5578.99,2205.234
7605,-0.598105972,34.09882478,16,0.380089046,3800.890458,23892.42,17631.453,6260.964
7606,-0.595225456,34.10527064,3,0.056241035,562.4103548,4948.56,3643.12,1305.438
7607,-0.585804351,34.18664251,2,0.015139559,151.3955925,3175.93,2479.13,696.801
7608,-0.595767336,34.13740488,6,0.148406766,1484.067659,9971.29,7086.87,2884.414
7609,-0.598538526,34.2082428,1,0,0,1527.39,1085.12,442.275
7610,-0.593633091,34.24448413,2,0.034572064,345.7206425,3085.57,2283.51,802.059
7611,-0.594426897,34.12388568,1,0,0,1672.25,1304.54,367.713
7612,-0.604484932,34.19565531,2,0.031721674,317.21674,2993.35,2172.246,821.105
7613,-0.598486239,34.09892936,5,0.099172719,991.7271913,7861.93,5098.002,2763.936
7614,-0.594398377,34.16263691,3,0.052215552,522.1555247,4398.54,3325.813,1072.727
7615,-0.586621925,34.13094951,3,0.035856199,358.5619854,4790.19,3539.43,1250.757
7616,-0.592611125,34.1883538,5,0.10183955,1018.3955,7391.64,5764.148,1627.479
7617,-0.587800752,34.18781189,2,0.010414186,104.1418574,3260.24,2047.016,1213.224
7618,-0.587358691,34.22956738,2,0.029907596,299.0759624,2759.08,2038.793,720.294
7619,-0.596323475,34.25250818,3,0.028777598,287.7759779,4390.32,3223.387,1166.94
7620,-0.592820272,34.12781214,1,0,0,1821.09,1268.55,552.544
7621,-0.587819766,34.18385691,5,0.100317368,1003.173676,7410.42,5367.557,2042.859
7622,-0.596280695,34.12452266,4,0.066949896,669.4989619,6457.4,4511.256,1946.129
7623,-0.590595712,34.08874718,3,0.064536056,645.3605578,4296.31,3340.48,955.828
7624,-0.611443789,34.10157235,2,0.016174913,161.7491331,3086.9,2275.276,811.621
7625,-0.628313275,34.10449105,1,0,0,1625.09,1251.31,373.779
7626,-0.619871409,34.21183651,2,0.027573242,275.7324245,3024.23,2161.866,862.362
7627,-0.602973377,34.17744908,1,0,0,1409.06,1248.51,160.55
7628,-0.595619982,34.24967505,3,0.050900198,509.0019785,4571,3426.57,1144.424
7629,-0.611690962,34.09775998,8,0.220063775,2200.637745,13197.58,9613.47,3584.113
7630,-0.593181524,34.16716232,2,0.016105641,161.0564079,3456.62,2460.36,996.256
7631,-0.594550484,34.17502475,4,0.08154155,815.4155006,5634.69,4113.85,1520.834
7632,-0.595757829,34.15104766,1,0,0,1251.9,936.871,315.032
7633,-0.613459194,34.10977704,1,0,0,1409.06,1248.51,160.55
7634,-0.578954789,34.22716682,1,0,0,1329.81,976.817,352.991
7635,-0.596157109,34.14646521,1,0,0,1467.57,1189.26,278.306
7636,-0.601281193,34.17658392,2,0.012907056,129.0705579,3219.88,2277.28,942.595
7637,-0.587125779,34.14254826,3,0.049715626,497.1562625,4638.52,3304.717,1333.795
7638,-0.628470133,34.17898448,2,0.017213003,172.1300302,2886.14,2388.67,497.474
7639,-0.593837484,34.1890098,1,0,0,1701.71,1109.49,592.216
7640,-0.616382481,34.26149246,1,0,0,1409.06,1248.51,160.55
7641,-0.600273489,34.12653818,2,0.026434747,264.34747,2728.98,2077.031,651.956
7642,-0.587895819,34.18388543,5,0.094939051,949.3905148,7748.47,5482.962,2265.507
7643,-0.604946004,34.24904757,3,0.053719091,537.1909055,5127.8,3790.96,1336.831
7644,-0.607341677,34.26182521,9,0.224483958,2244.839575,13982.18,10246.477,3735.694
7645,-0.597026967,34.24627148,3,0.021195797,211.9579656,4159.97,3033.369,1126.607
7646,-0.633313743,34.15612449,1,0,0,1462.23,1116.22,346.01
7647,-0.596233162,34.14175916,1,0,0,1325.06,976.63,348.434
7648,-0.601167113,34.11404576,5,0.112448094,1124.480938,8135.67,6025.66,2110.008
7649,-0.598248572,34.19453346,2,0.026958348,269.5834752,2561.5,1930.49,631.01
7650,-0.586935645,34.13572211,2,0.028627739,286.2773872,3152.48,2336.43,816.054
7651,-0.584525703,34.20666461,1,0,0,1701.71,1109.49,592.216
7652,-0.5977162,34.09907197,13,0.341961891,3419.618914,21504.08,15190.412,6313.661
7653,-0.596342488,34.25236558,3,0.03334359,333.4359022,5161.07,3864.58,1296.498
7654,-0.600111876,34.11899899,1,0,0,1468.83,1035.1,433.721
7655,-0.577809234,34.12486492,1,0,0,1325.06,976.63,348.434
7656,-0.62026118,34.23357941,2,0.03236702,323.6702032,3164.46,2168.03,996.425
7657,-0.610697518,34.22319758,2,0.013541185,135.4118473,3133.41,2446.82,686.585
7658,-0.608444447,34.24901905,3,0.050142013,501.4201256,4780.56,3363.366,1417.194
7659,-0.608016648,34.26236712,10,0.210628754,2106.287538,14860.04,10597.686,4262.367
7660,-0.594721604,34.15110471,1,0,0,1686.01,1280.7,405.308
7661,-0.609052872,34.23541429,2,0.01182193,118.2193031,3180.97,2315.96,865.01
7662,-0.585015297,34.10452908,2,0.020855017,208.5501673,3080.43,2138.846,941.584
7663,-0.587197078,34.25280766,3,0.078275566,782.7556565,4332.42,3325.81,1006.61
7664,-0.611980913,34.24265876,1,0,0,1683.62,1076.59,607.025
7665,-0.621078749,34.25364904,2,0.032795948,327.9594827,2767.95,2154.363,613.589
7666,-0.6041522,34.1156905,2,0.032847237,328.4723684,2863.12,2110.796,752.323
7667,-0.629886617,34.19686747,3,0.040039778,400.3977759,4285.83,3122.776,1163.057
7668,-0.594450664,34.2020061,1,0,0,1467.57,1189.26,278.306
7669,-0.58497727,34.09745575,2,0.031721719,317.2171948,3169.56,2351.08,818.478
7670,-0.589283792,34.1371767,1,0,0,1737.53,1291.94,445.595
7671,-0.632268019,34.21451753,1,0,0,1325.06,976.63,348.434
7672,-0.582648134,34.19579791,2,0.026434875,264.348751,3329.34,2452.26,877.077
7673,-0.593509505,34.24476935,2,0.034572064,345.7206425,3273.79,2492.63,781.165
7674,-0.598462472,34.24992223,2,0.01806862,180.6862014,3423.54,2572.64,850.903
7675,-0.595781596,34.25861179,2,0.026115689,261.1568931,2852.45,2061.75,790.709
7676,-0.62621707,34.1754288,2,0.010573775,105.7377492,3013.34,2340.85,672.494
